Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,PostedDate,AdditionInfo,AskPrice,Month,YearPosted
Rolls-Royce,Phantom Series II,2015,9,11500,Automatic,second,Petrol,Aug-24,"Rolls-Royce Phantom Series II EWB, 2015, Petrol",42500000,Aug,24
Lexus,LX,2024,0,24000,Automatic,first,Diesel,Nov-24,"Lexus LX 500d, 2024, Diesel",27750000,Nov,24
Aston Martin,Vanquish,2016,8,257000,Automatic,first,Petrol,Nov-24,"Aston Martin Vanquish 6.0 V12, 2016, Petrol",26400000,Nov,24
Mercedes-Benz,G Class,2019,5,59000,Automatic,first,Petrol,Sep-24,"Mercedes-Benz G Class 63 AMG, 2019, Petrol",26000000,Sep,24
Mercedes-Benz,G Class,2019,5,59000,Automatic,first,Petrol,Nov-24,"Mercedes-Benz G Class G63 AMG, 2019, Petrol",24900000,Nov,24
Toyota,Land Cruiser,2023,1,150000,Automatic,first,Diesel,Nov-24,"Toyota Land Cruiser 3.3 ZX Diesel, 2023, Diesel",24700000,Nov,24
Mercedes-Benz,SL-Class,2024,0,1400,Automatic,first,Petrol,Nov-24,"Mercedes-Benz SL-Class 55 AMG Roadster, 2024, Petrol",24500000,Nov,24
Mercedes-Benz,AMG,2024,0,16000,Automatic,first,Petrol,Nov-24,"Mercedes-Benz AMG GT 63 S, 2024, Petrol",21500000,Nov,24
BMW,7 Series,2023,1,70000,Automatic,first,Petrol,Nov-24,"BMW 7 Series 3.0 740Li M Sport, 2023, Petrol",18500000,Nov,24
Bentley,Flying Spur,2017,7,22000,Automatic,first,Petrol,Nov-24,"Bentley Continental Flying Spur V8, 2017, Petrol",18500000,Nov,24
