Brand,TotalRevenue
Volkswagen,224852964
Lexus,148275000
Jaguar,81690999
Maserati,8000000
Rolls-Royce,42735000
Tata,260173825
Jeep,127774342
Mitsubishi,14412199
Kia,223555099
Mini,115433999
Chevrolet,22590000
Volvo,125418444
Hyundai,914561052
Honda,416897544
Audi,444669940
Ambassador,1154599
Isuzu,15479000
Land Rover,392906997
Mercedes-Benz,1437065544
Ssangyong,815000
Renault,103455486
Mahindra,534113596
BMW,975194548
MG,128939112
Bajaj,569000
Datsun,5589998
Opel,258000
Maruti Suzuki,1318636754
Ashok,32000
Porsche,189619000
Skoda,168209994
Bentley,18500000
Toyota,1374431516
Aston Martin,26400000
Nissan,34293999
Fiat,5682900
Ford,266175986
Force,6821000
